repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
CamusGIT/EvoQuant,2,1,0,100.0,18,1,0,1,0,,,
CanXiangCC/aminer-open-skill,2,2,100.0,79.4,62,13,0,1,0,,,
Carasibana/ComfyUI-H3-FaceRefine,1,1,100.0,100.0,13,3,1,0,0,1,2026-09-04T10:06:56Z,
CarlosCaPe/octorato,0,1,33.3,100.0,100,7,1,1,0,0,2026-09-05T12:42:50Z,
CarpseDeam/Aura-IDE,0,1,100.0,100.0,100,1,1,1,0,1,2026-09-03T13:54:25Z,
Cassette-Editor/oh-my-cassette,2,1,75.0,95.9,100,5,1,1,0,2,2026-09-03T00:10:16Z,
CatYaderka/BetterASF,2,1,0,0,22,1,0,0,0,39,2026-07-28T09:25:14Z,
CedHaurus/fuitesinfos-transparence,0,1,0,100.0,97,2,1,0,0,,,
CelestoAI/SmolVM,0,1,85.7,98.0,100,15,1,1,0,12,2026-08-23T20:45:33Z,
Cellium-Project/Cellium-Agent,0,1,50.0,90.2,100,3,1,1,0,0,2026-09-05T03:44:28Z,
Ch921-cell/Remember-R1,7,1,0,0,18,2,0,0,0,,,
ChaoYue0307/awesome-graph-engineering,0,1,0,0,46,1,1,0,0,46,2026-07-21T07:02:04Z,
ChaoYue0307/awesome-loop-engineering,0,1,76.5,0,100,1,1,0,0,44,2026-07-22T18:07:15Z,
ChaoticSi1ence/SlimBrave-Neo,2,2,100.0,77.8,55,7,1,1,0,2,2026-09-03T07:46:48Z,
ChenShuo2004/cs-board,1,1,0,100.0,8,1,0,1,0,2,2026-09-03T12:23:13Z,
ChengjinLii/studyhub,0,1,0,14.3,100,5,1,1,0,,,
Chenruishuo/posterly,6,1,0,100.0,90,3,1,1,0,,,
CheshireMew/VoxWeave,11,1,0,100.0,19,1,1,1,0,23,2026-08-13T03:19:03Z,
ChogirmaliYigit/multi-saas-pos,0,1,0,0,19,1,0,1,0,,,
ChrisDKN/Amethyst-Mod-Manager,0,1,77.8,78.0,100,16,1,0,0,4,2026-08-31T14:07:34Z,
Chrisinho8/DACH-data-job-market,0,1,0,0,100,1,1,1,0,,,
Chrizhermann/chriz-bg-modpack,0,1,0,100.0,5,2,1,1,0,1,2026-09-04T10:35:36Z,
ChuanMeng/text-ranking-in-deep-research,4,1,0,0,5,2,0,0,0,,,
CircuitSavage/cloudflare-turnstile-reversed,0,1,0,0,9,2,1,0,0,,,
CircuitSetup/CircuitSetup-Energy-Analyzer,0,1,100.0,100.0,100,2,1,1,0,5,2026-08-30T17:15:18Z,
Cisco-Talos/EvidenceForge,23,1,0,12.0,100,3,1,1,0,23,2026-08-13T13:12:17Z,
Civilofficerconducting396/comfyui-workflow-finder,0,1,0,0,1,2,0,0,0,,,
Cjbuilds/Codex-Orchestration,41,1,57.1,58.3,19,2,1,1,0,,,
Classic298/open-webui-plugins,3,1,95.2,97.4,100,5,0,1,0,3,2026-09-01T18:35:42Z,
Claw-AI-Lab/Claw-AI-Lab,82,1,0,77.8,1,15,0,1,0,,,
ClawBio/ClawBio,0,2,73.1,94.4,100,62,1,1,0,1,2026-09-03T16:41:11Z,
Claws-ZH/awesome-ai-api,0,1,11.1,14.3,91,2,1,0,0,,,
Claycui828/ASu-resume-skills,13,2,0,100.0,8,6,1,1,0,,,
ClickHouse/nerve,0,1,100.0,74.4,100,21,1,1,0,,,
Climate-Vision/ClimateVision,7,3,100.0,81.4,71,16,1,1,0,,,
CloakHQ/CloakBrowser-Manager,6,1,27.0,50.0,37,2,1,1,0,6,2026-08-30T04:21:05Z,
Cloodnova/Payment_ops,0,1,0,0,31,1,1,1,0,,,
CloudAI-X/claude-workflow-v2,94,1,44.4,12.5,0,2,1,1,0,,,
CloudChef/atlasclaw,0,2,0,85.0,68,13,1,1,0,9,2026-08-27T06:15:14Z,
CmsChase/LA-neighborhood-heat,2,1,0,0,100,1,1,1,0,,,
Code-Amadeus/Amadeus,0,1,64.3,77.4,35,6,1,1,0,,,
CodeAbra/iai-personal-memory-engine,0,1,65.4,26.3,100,10,1,1,0,0,2026-09-04T17:27:50Z,
